name,price,description,in_stock,reviews
Морозильный ларь Haier HCE301R,28990,"Тип: Морозильный ларь  / Полезный объем: 301 л / Габариты (Г х В х Ш): 615 x 845 x 1110 мм / Глубина: 615 мм / Высота: 845 мм / Ширина: 1110 мм / Тип управления: Электронное  / Система размораживания: Ручная  / Дисплей: Да  / Климатический класс: N, SN, ST, T  / Хладагент: R600a  / Перенавешиваемые двери: Нет",Есть в наличии,
Морозильный ларь Haier HCE150R,17990,"Тип: Морозильный ларь  / Полезный объем: 139 л / Габариты (Г х В х Ш): 555 x 845 x 630 мм / Глубина: 555 мм / Высота: 845 мм / Ширина: 630 мм / Тип управления: Электронное  / Система размораживания: Ручная  / Дисплей: Да  / Климатический класс: N, SN, ST, T  / Хладагент: R600a  / Перенавешиваемые двери: Нет",На витрине,
Морозильный ларь ARG BC/BD-300W2,22090,"Тип: Морозильный ларь  / Полезный объем: 300 л / Габариты (Г х В х Ш): 608 x 835 x 1125 мм / Глубина: 608 мм / Высота: 835 мм / Ширина: 1125 мм / Тип управления: Механическое  / Система размораживания: De Frost  / Дисплей: Нет  / Климатический класс: N, SN, ST, T  / Хладагент: R600a  / Перенавешиваемые двери: Нет",Есть в наличии,
Морозильная камера Haier HF-82WAA,23990,Тип: Морозильная камера  / Полезный объем: 82 л / Габариты (Г х В х Ш): 500 x 840 x 550 мм / Глубина: 500 мм / Высота: 840 мм / Ширина: 550 мм / Тип управления: Электронное  / Система размораживания: Ручная  / Дисплей: Да  / Климатический класс: SN-T  / Хладагент: R600a  / Перенавешиваемые двери: Да,Есть в наличии,
Морозильный ларь Haier HCE430RF,45490,"Тип: Морозильный ларь  / Полезный объем: 424 л / Габариты (Г х В х Ш): 745 x 845 x 1410 мм / Глубина: 745 мм / Высота: 845 мм / Ширина: 1410 мм / Тип управления: Электронное  / Система размораживания: Ручная  / Дисплей: Да  / Климатический класс: N, SN, ST, T  / Хладагент: R600a  / Перенавешиваемые двери: Нет",Есть в наличии,
Морозильный ларь Haier HCE251R,29990,"Тип: Морозильный ларь  / Полезный объем: 251 л / Габариты (Г х В х Ш): 615 x 845 x 940 мм / Глубина: 615 мм / Высота: 845 мм / Ширина: 940 мм / Тип управления: Электронное  / Система размораживания: Ручная  / Дисплей: Да  / Климатический класс: N, SN, ST, T  / Хладагент: R600a  / Перенавешиваемые двери: Нет",Есть в наличии,
Морозильный ларь Haier HCE520RF,62790,"Тип: Морозильный ларь  / Полезный объем: 516 л / Габариты (Г х В х Ш): 745 x 845 x 1650 мм / Глубина: 745 мм / Высота: 845 мм / Ширина: 1650 мм / Тип управления: Электронное  / Система размораживания: Ручная  / Дисплей: Да  / Климатический класс: N, SN, ST, T  / Хладагент: R600a  / Перенавешиваемые двери: Нет",Есть в наличии,
Морозильный ларь Gorenje FHC42A6W,37290,Тип: Морозильный ларь  / Полезный объем: 420 л / Габариты (Г х В х Ш): 721 x 850 x 1448 мм / Глубина: 721 мм / Высота: 850 мм / Ширина: 1448 мм / Тип управления: Электронное  / Система размораживания: De Frost  / Дисплей: Да  / Климатический класс: SN-N-ST-T  / Хладагент: R600a  / Перенавешиваемые двери: Нет,Есть в наличии,
Морозильная камера Haier HF260WG,33990,Тип: Морозильная камера  / Полезный объем: 248 л / Габариты (Г х В х Ш): 630 x 1455 x 595 мм / Глубина: 630 мм / Высота: 1455 мм / Ширина: 595 мм / Тип управления: Механическое  / Система размораживания: Ручная  / Дисплей: Нет  / Климатический класс: ST  / Хладагент: R600a  / Перенавешиваемые двери: Да,На витрине,
Морозильная камера Haier HF-242WG,39990,Тип: Морозильная камера  / Полезный объем: 215 л / Габариты (Г х В х Ш): 630 x 1447 x 595 мм / Глубина: 630 мм / Высота: 1447 мм / Ширина: 595 мм / Тип управления: Электронное  / Система размораживания: No Frost  / Дисплей: Да  / Климатический класс: SN-T  / Хладагент: R600a  / Перенавешиваемые двери: Да,На витрине,
Морозильный ларь ARG BC/BD-400KPA,32290,"Тип: Морозильный ларь  / Полезный объем: 400 л / Габариты (Г х В х Ш): 730 x 840 x 1254 мм / Глубина: 730 мм / Высота: 840 мм / Ширина: 1254 мм / Тип управления: Механическое  / Система размораживания: De Frost  / Дисплей: Нет  / Климатический класс: N, SN, ST, T  / Хладагент: R600a  / Перенавешиваемые двери: Нет",На витрине,
